Session ID,User Number,Trial,Month,Chart Type,Question Type,User Answer,Correct School,Correct Absences,User Absences,Response Time,Correct,Generated Data
20241111_154147,1,1,March,scatter,lowest,10,School [10],25,25,8.0,Correct,"[[9, 147, 117, 189, 170, 3, 37, 0, 51, 21, 74, 90], [48, 49, 149, 232, 197, 116, 14, 0, 41, 149, 236, 100], [103, 130, 163, 17, 36, 6, 116, 0, 213, 207, 192, 47], [178, 218, 181, 136, 198, 195, 36, 0, 29, 215, 11, 66], [198, 155, 107, 143, 134, 6, 97, 0, 137, 76, 220, 99], [222, 32, 127, 188, 19, 33, 109, 0, 166, 46, 229, 31], [200, 117, 93, 189, 3, 30, 24, 0, 5, 88, 128, 110], [183, 124, 178, 57, 58, 210, 104, 0, 116, 175, 168, 61], [170, 200, 31, 100, 227, 3, 108, 0, 38, 61, 29, 61], [170, 158, 25, 162, 157, 117, 39, 0, 176, 54, 104, 110]]"
20241111_154147,1,2,October,scatter,lowest,2,School [2],9,9,10.34,Correct,"[[109, 178, 38, 24, 199, 77, 102, 0, 194, 211, 183, 48], [179, 166, 78, 218, 59, 228, 113, 0, 206, 9, 52, 65], [31, 124, 169, 54, 178, 18, 31, 0, 162, 47, 43, 19], [148, 82, 151, 225, 225, 218, 65, 0, 133, 208, 13, 30], [160, 107, 183, 210, 113, 63, 86, 0, 113, 22, 24, 98], [158, 160, 39, 129, 180, 131, 32, 0, 31, 14, 89, 33], [17, 178, 82, 79, 162, 14, 56, 0, 193, 184, 129, 45], [53, 214, 163, 72, 177, 137, 52, 0, 93, 73, 124, 31], [87, 92, 113, 208, 148, 225, 105, 0, 27, 126, 69, 11], [22, 20, 224, 56, 137, 50, 22, 0, 92, 116, 142, 11]]"
20241111_154147,1,3,January,scatter,lowest,1,School [1],9,9,9.48,Correct,"[[9, 178, 106, 103, 171, 127, 94, 0, 70, 101, 70, 88], [180, 105, 66, 228, 38, 196, 83, 0, 179, 149, 181, 45], [53, 93, 147, 137, 6, 99, 113, 0, 49, 196, 59, 36], [178, 171, 30, 234, 131, 60, 85, 0, 112, 235, 96, 0], [90, 69, 205, 132, 208, 80, 101, 0, 119, 88, 112, 20], [151, 126, 28, 49, 230, 165, 82, 0, 121, 225, 87, 105], [182, 144, 120, 190, 193, 234, 54, 0, 169, 164, 89, 39], [59, 233, 32, 228, 55, 143, 53, 0, 231, 52, 23, 34], [190, 39, 66, 178, 115, 205, 57, 0, 28, 115, 51, 117], [47, 20, 216, 107, 95, 75, 92, 0, 212, 208, 190, 41]]"
20241111_154147,1,4,February,scatter,highest,3,School [3],233,233,6.85,Correct,"[[14, 135, 96, 90, 135, 13, 77, 0, 106, 85, 179, 106], [78, 93, 62, 82, 73, 159, 71, 0, 38, 105, 146, 27], [97, 233, 81, 111, 117, 179, 42, 0, 164, 20, 75, 58], [14, 46, 14, 37, 160, 41, 92, 0, 144, 158, 135, 10], [124, 152, 103, 106, 76, 202, 24, 0, 8, 168, 96, 8], [209, 161, 78, 209, 22, 88, 33, 0, 30, 211, 38, 117], [111, 46, 155, 18, 236, 230, 2, 0, 62, 175, 118, 35], [222, 217, 231, 147, 167, 174, 35, 0, 26, 201, 45, 62], [135, 192, 202, 224, 152, 165, 104, 0, 124, 98, 23, 2], [12, 104, 234, 214, 29, 5, 43, 0, 105, 14, 228, 48]]"
20241111_154147,1,5,November,scatter,highest,6,School [6],235,235,6.61,Correct,"[[28, 82, 185, 205, 186, 169, 50, 0, 82, 138, 13, 34], [0, 181, 234, 49, 61, 104, 97, 0, 22, 114, 148, 8], [144, 52, 20, 191, 161, 169, 37, 0, 123, 107, 71, 11], [190, 194, 88, 204, 114, 31, 88, 0, 79, 183, 151, 111], [209, 104, 29, 0, 107, 213, 36, 0, 142, 214, 222, 116], [139, 7, 203, 119, 210, 105, 54, 0, 97, 235, 235, 90], [47, 83, 32, 51, 229, 169, 91, 0, 197, 114, 138, 19], [45, 45, 80, 171, 208, 122, 12, 0, 142, 120, 86, 85], [134, 58, 178, 180, 186, 159, 12, 0, 187, 64, 147, 36], [190, 42, 179, 72, 65, 47, 27, 0, 65, 97, 167, 26]]"
20241111_154147,1,6,January,scatter,highest,6,School [6],188,188,5.94,Correct,"[[131, 168, 54, 45, 77, 120, 117, 0, 181, 64, 207, 65], [58, 49, 49, 130, 6, 60, 108, 0, 45, 0, 89, 91], [65, 207, 190, 6, 216, 35, 19, 0, 188, 93, 171, 16], [37, 67, 171, 203, 111, 52, 27, 0, 71, 22, 61, 28], [102, 4, 187, 5, 212, 54, 78, 0, 13, 0, 234, 36], [188, 107, 1, 35, 53, 179, 72, 0, 170, 123, 172, 105], [104, 129, 4, 117, 55, 103, 28, 0, 8, 208, 29, 112], [78, 153, 63, 110, 160, 67, 39, 0, 149, 199, 116, 107], [151, 188, 140, 6, 199, 211, 84, 0, 103, 208, 223, 69], [124, 126, 103, 115, 223, 126, 103, 0, 76, 142, 55, 38]]"
20241111_154147,1,7,June,scatter,lowest,6,School [6],12,12,4.77,Correct,"[[147, 35, 65, 212, 213, 88, 116, 0, 149, 197, 180, 96], [71, 147, 167, 29, 89, 137, 49, 0, 88, 27, 65, 7], [47, 141, 136, 4, 208, 117, 73, 0, 120, 109, 219, 96], [52, 128, 105, 49, 228, 223, 24, 0, 88, 194, 193, 2], [97, 86, 30, 178, 205, 112, 66, 0, 77, 41, 180, 18], [201, 96, 118, 1, 162, 12, 20, 0, 20, 215, 205, 112], [155, 158, 155, 64, 51, 176, 55, 0, 222, 195, 38, 106], [190, 223, 174, 53, 157, 128, 74, 0, 204, 41, 32, 113], [99, 30, 161, 201, 15, 157, 103, 0, 203, 49, 35, 26], [224, 94, 17, 57, 189, 79, 102, 0, 170, 134, 154, 54]]"
20241111_154147,1,8,May,scatter,highest,10,School [10],220,220,6.2,Correct,"[[215, 28, 214, 116, 149, 136, 22, 0, 191, 74, 143, 19], [128, 155, 195, 151, 135, 72, 20, 0, 97, 179, 155, 116], [226, 7, 225, 155, 172, 93, 41, 0, 37, 137, 71, 85], [30, 82, 95, 6, 177, 196, 21, 0, 131, 161, 161, 82], [86, 142, 210, 159, 160, 55, 111, 0, 87, 196, 184, 49], [113, 219, 54, 110, 41, 35, 81, 0, 42, 13, 129, 82], [190, 167, 85, 26, 169, 79, 91, 0, 216, 146, 209, 90], [73, 61, 138, 179, 49, 156, 80, 0, 70, 97, 203, 118], [203, 37, 132, 156, 92, 151, 11, 0, 123, 68, 100, 101], [46, 198, 196, 126, 220, 188, 14, 0, 205, 175, 199, 8]]"
20241111_154147,1,9,January,scatter,lowest,7,School [7],29,29,7.85,Correct,"[[47, 184, 233, 143, 180, 224, 43, 0, 196, 148, 117, 75], [233, 30, 198, 156, 148, 0, 11, 0, 180, 198, 199, 94], [179, 68, 137, 11, 17, 199, 10, 0, 39, 157, 110, 75], [158, 25, 67, 120, 57, 201, 10, 0, 117, 113, 152, 48], [117, 59, 149, 40, 173, 61, 104, 0, 160, 43, 214, 49], [155, 153, 34, 192, 134, 16, 19, 0, 115, 192, 87, 57], [29, 68, 16, 35, 100, 26, 23, 0, 51, 213, 114, 9], [156, 152, 110, 200, 215, 82, 43, 0, 58, 25, 9, 34], [174, 167, 156, 205, 86, 71, 89, 0, 20, 117, 71, 29], [131, 202, 87, 114, 86, 202, 44, 0, 4, 38, 215, 49]]"
20241111_154147,1,10,August,scatter,lowest,1,"School [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0,0,10.12,Correct,"[[153, 100, 149, 84, 114, 44, 16, 0, 73, 53, 88, 91], [147, 134, 5, 100, 224, 11, 72, 0, 227, 167, 177, 14], [131, 173, 67, 56, 155, 8, 76, 0, 196, 87, 110, 56], [204, 120, 24, 122, 133, 45, 82, 0, 146, 120, 62, 82], [141, 218, 115, 62, 79, 139, 41, 0, 85, 204, 163, 109], [105, 113, 118, 174, 230, 225, 24, 0, 226, 5, 19, 57], [227, 163, 4, 71, 68, 216, 22, 0, 127, 23, 87, 113], [90, 5, 233, 205, 109, 170, 90, 0, 90, 20, 51, 98], [106, 180, 59, 144, 191, 216, 94, 0, 44, 198, 64, 74], [104, 231, 6, 122, 108, 83, 40, 0, 177, 45, 168, 19]]"
